code,description
C023,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified"
C024,Malignant neoplasm of lingual tonsil
C028,Malignant neoplasm of overlapping sites of tongue
C029,"Malignant neoplasm of tongue, unspecified"
C030,Malignant neoplasm of upper gum
C031,Malignant neoplasm of lower gum
C039,"Malignant neoplasm of gum, unspecified"
C040,Malignant neoplasm of anterior floor of mouth
C041,Malignant neoplasm of lateral floor of mouth
C048,Malignant neoplasm of overlapping sites of floor of mouth
C049,"Malignant neoplasm of floor of mouth, unspecified"
C050,Malignant neoplasm of hard palate
C051,Malignant neoplasm of soft palate
C052,Malignant neoplasm of uvula
C058,Malignant neoplasm of overlapping sites of palate
C059,"Malignant neoplasm of palate, unspecified"
C060,Malignant neoplasm of cheek mucosa
C061,Malignant neoplasm of vestibule of mouth
C062,Malignant neoplasm of retromolar area
C068,Malignant neoplasm of overlapping sites of unspecified parts of mouth
C069,"Malignant neoplasm of mouth, unspecified"
C07,Malignant neoplasm of parotid gland
C080,Malignant neoplasm of submandibular gland
C081,Malignant neoplasm of sublingual gland
C089,"Malignant neoplasm of major salivary gland, unspecified"
C090,Malignant neoplasm of tonsillar fossa
C091,Malignant neoplasm of tonsillar pillar (anterior) (posterior)
C098,Malignant neoplasm of overlapping sites of tonsil
C099,"Malignant neoplasm of tonsil, unspecified"
C100,Malignant neoplasm of vallecula
C101,Malignant neoplasm of anterior surface of epiglottis
C102,Malignant neoplasm of lateral wall of oropharynx
C103,Malignant neoplasm of posterior wall of oropharynx
C104,Malignant neoplasm of branchial cleft
C108,Malignant neoplasm of overlapping sites of oropharynx
C109,"Malignant neoplasm of oropharynx, unspecified"
C110,Malignant neoplasm of superior wall of nasopharynx
C111,Malignant neoplasm of posterior wall of nasopharynx
C112,Malignant neoplasm of lateral wall of nasopharynx
C113,Malignant neoplasm of anterior wall of nasopharynx
C118,Malignant neoplasm of overlapping sites of nasopharynx
C119,"Malignant neoplasm of nasopharynx, unspecified"
C12,Malignant neoplasm of pyriform sinus
C130,Malignant neoplasm of postcricoid region
C131,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect"
C132,Malignant neoplasm of posterior wall of hypopharynx
C138,Malignant neoplasm of overlapping sites of hypopharynx
C139,"Malignant neoplasm of hypopharynx, unspecified"
C140,"Malignant neoplasm of pharynx, unspecified"
C142,Malignant neoplasm of Waldeyer's ring
C148,"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx"
C153,Malignant neoplasm of upper third of esophagus
C154,Malignant neoplasm of middle third of esophagus
C155,Malignant neoplasm of lower third of esophagus
C158,Malignant neoplasm of overlapping sites of esophagus
C159,"Malignant neoplasm of esophagus, unspecified"
C160,Malignant neoplasm of cardia
C161,Malignant neoplasm of fundus of stomach
C162,Malignant neoplasm of body of stomach
C163,Malignant neoplasm of pyloric antrum
C164,Malignant neoplasm of pylorus
C165,"Malignant neoplasm of lesser curvature of stomach, unspecified"
C166,"Malignant neoplasm of greater curvature of stomach, unspecified"
C168,Malignant neoplasm of overlapping sites of stomach
C169,"Malignant neoplasm of stomach, unspecified"
C170,Malignant neoplasm of duodenum
C171,Malignant neoplasm of jejunum
C172,Malignant neoplasm of ileum
C173,"Meckel's diverticulum, malignant"
C178,Malignant neoplasm of overlapping sites of small intestine
C179,"Malignant neoplasm of small intestine, unspecified"
C180,Malignant neoplasm of cecum
C181,Malignant neoplasm of appendix
C182,Malignant neoplasm of ascending colon
C183,Malignant neoplasm of hepatic flexure
C184,Malignant neoplasm of transverse colon
C185,Malignant neoplasm of splenic flexure
C186,Malignant neoplasm of descending colon
C187,Malignant neoplasm of sigmoid colon
C188,Malignant neoplasm of overlapping sites of colon
C189,"Malignant neoplasm of colon, unspecified"
C19,Malignant neoplasm of rectosigmoid junction
C20,Malignant neoplasm of rectum
C210,"Malignant neoplasm of anus, unspecified"
C211,Malignant neoplasm of anal canal
C212,Malignant neoplasm of cloacogenic zone
C218,"Malignant neoplasm of overlapping sites of rectum, anus and anal canal"
C220,Liver cell carcinoma
C221,Intrahepatic bile duct carcinoma
C222,Hepatoblastoma
C223,Angiosarcoma of liver
C224,Other sarcomas of liver
C227,Other specified carcinomas of liver
C228,"Malignant neoplasm of liver, primary, unspecified as to type"
C229,"Malignant neoplasm of liver, not specified as primary or secondary"
C23,Malignant neoplasm of gallbladder
C240,Malignant neoplasm of extrahepatic bile duct
C241,Malignant neoplasm of ampulla of Vater
C248,Malignant neoplasm of overlapping sites of biliary tract
C249,"Malignant neoplasm of biliary tract, unspecified"
C250,Malignant neoplasm of head of pancreas
C251,Malignant neoplasm of body of pancreas
C252,Malignant neoplasm of tail of pancreas
C253,Malignant neoplasm of pancreatic duct
C254,Malignant neoplasm of endocrine pancreas
C257,Malignant neoplasm of other parts of pancreas
C258,Malignant neoplasm of overlapping sites of pancreas
C259,"Malignant neoplasm of pancreas, unspecified"
C260,"Malignant neoplasm of intestinal tract, part unspecified"
C261,Malignant neoplasm of spleen
C269,Malignant neoplasm of ill-defined sites within the digestive system
C300,Malignant neoplasm of nasal cavity
C301,Malignant neoplasm of middle ear
C310,Malignant neoplasm of maxillary sinus
C311,Malignant neoplasm of ethmoidal sinus
C312,Malignant neoplasm of frontal sinus
C313,Malignant neoplasm of sphenoid sinus
C318,Malignant neoplasm of overlapping sites of accessory sinuses
C319,"Malignant neoplasm of accessory sinus, unspecified"
C320,Malignant neoplasm of glottis
C321,Malignant neoplasm of supraglottis
C322,Malignant neoplasm of subglottis
C323,Malignant neoplasm of laryngeal cartilage
C328,Malignant neoplasm of overlapping sites of larynx
C329,"Malignant neoplasm of larynx, unspecified"
C33,Malignant neoplasm of trachea
C340,Malignant neoplasm of unspecified main bronchus
C341,"Malignant neoplasm of upper lobe, unspecified bronchus or lung"
C342,"Malignant neoplasm of middle lobe, bronchus or lung"
C343,"Malignant neoplasm of lower lobe, unspecified bronchus or lung"
C348,Malignant neoplasm of overlapping sites of unspecified bronchus and lung
C349,Malignant neoplasm of unspecified part of unspecified bronchus or lung
C37,Malignant neoplasm of thymus
C380,Malignant neoplasm of heart
C381,Malignant neoplasm of anterior mediastinum
C382,Malignant neoplasm of posterior mediastinum
C383,"Malignant neoplasm of mediastinum, part unspecified"
C384,Malignant neoplasm of pleura
C388,"Malignant neoplasm of overlapping sites of heart, mediastinum and pleura"
C390,"Malignant neoplasm of upper respiratory tract, part unspecified"
C399,"Malignant neoplasm of lower respiratory tract, part unspecified"
C400,Malignant neoplasm of scapula and long bones of unspecified upper limb
C401,Malignant neoplasm of short bones of unspecified upper limb
C402,Malignant neoplasm of long bones of unspecified lower limb
C403,Malignant neoplasm of short bones of unspecified lower limb
C408,Malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb
C409,Malignant neoplasm of unspecified bones and articular cartilage of unspecified limb
C410,Malignant neoplasm of bones of skull and face
C411,Malignant neoplasm of mandible
C412,Malignant neoplasm of vertebral column
C413,"Malignant neoplasm of ribs, sternum and clavicle"
C414,"Malignant neoplasm of pelvic bones, sacrum and coccyx"
C419,"Malignant neoplasm of bone and articular cartilage, unspecified"
C430,Malignant melanoma of lip
C431,"Malignant melanoma of unspecified eyelid, including canthus"
C432,Malignant melanoma of unspecified ear and external auricular canal
C433,Malignant melanoma of unspecified part of face
C434,Malignant melanoma of scalp and neck
C435,Malignant melanoma of anal skin
C436,"Malignant melanoma of unspecified upper limb, including shoulder"
C437,"Malignant melanoma of unspecified lower limb, including hip"
C438,Malignant melanoma of overlapping sites of skin
C439,"Malignant melanoma of skin, unspecified"
C4A0,Merkel cell carcinoma of lip
C4A1,"Merkel cell carcinoma of unspecified eyelid, including canthus"
C4A2,Merkel cell carcinoma of unspecified ear and external auricular canal
C4A3,Merkel cell carcinoma of unspecified part of face
C4A4,Merkel cell carcinoma of scalp and neck
C4A5,Merkel cell carcinoma of anal skin
C4A6,"Merkel cell carcinoma of unspecified upper limb, including shoulder"
C4A7,"Merkel cell carcinoma of unspecified lower limb, including hip"
C4A8,Merkel cell carcinoma of overlapping sites
C4A9,"Merkel cell carcinoma, unspecified"
C440,Unspecified malignant neoplasm of skin of lip
C441,"Unspecified malignant neoplasm of skin of unspecified eyelid, including canthus"
C442,Unspecified malignant neoplasm of skin of unspecified ear and external auricular canal
C443,Unspecified malignant neoplasm of skin of unspecified part of face
C444,Unspecified malignant neoplasm of skin of scalp and neck
C445,Unspecified malignant neoplasm of anal skin
C446,"Unspecified malignant neoplasm of skin of unspecified upper limb, including shoulder"
C447,"Unspecified malignant neoplasm of skin of unspecified lower limb, including hip"
C448,Unspecified malignant neoplasm of overlapping sites of skin
C449,"Unspecified malignant neoplasm of skin, unspecified"
C450,Mesothelioma of pleura
C451,Mesothelioma of peritoneum
C452,Mesothelioma of pericardium
C457,Mesothelioma of other sites
C459,"Mesothelioma, unspecified"
C460,Kaposi's sarcoma of skin
C461,Kaposi's sarcoma of soft tissue
C462,Kaposi's sarcoma of palate
C463,Kaposi's sarcoma of lymph nodes
C464,Kaposi's sarcoma of gastrointestinal sites
C465,Kaposi's sarcoma of unspecified lung
C467,Kaposi's sarcoma of other sites
C469,"Kaposi's sarcoma, unspecified"
C470,"Malignant neoplasm of peripheral nerves of head, face and neck"
C471,"Malignant neoplasm of peripheral nerves of unspecified upper limb, including shoulder"
C472,"Malignant neoplasm of peripheral nerves of unspecified lower limb, including hip"
C473,Malignant neoplasm of peripheral nerves of thorax
C474,Malignant neoplasm of peripheral nerves of abdomen
C475,Malignant neoplasm of peripheral nerves of pelvis
C476,"Malignant neoplasm of peripheral nerves of trunk, unspecified"
C478,Malignant neoplasm of overlapping sites of peripheral nerves and autonomic nervous system
C479,"Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified"
C480,Malignant neoplasm of retroperitoneum
C481,Malignant neoplasm of specified parts of peritoneum
C482,"Malignant neoplasm of peritoneum, unspecified"
C488,Malignant neoplasm of overlapping sites of retroperitoneum and peritoneum
C490,"Malignant neoplasm of connective and soft tissue of head, face and neck"
C491,"Malignant neoplasm of connective and soft tissue of unspecified upper limb, including shoulder"
C492,"Malignant neoplasm of connective and soft tissue of unspecified lower limb, including hip"
C493,Malignant neoplasm of connective and soft tissue of thorax
C494,Malignant neoplasm of connective and soft tissue of abdomen
C495,Malignant neoplasm of connective and soft tissue of pelvis
C496,"Malignant neoplasm of connective and soft tissue of trunk, unspecified"
C498,Malignant neoplasm of overlapping sites of connective and soft tissue
C499,"Malignant neoplasm of connective and soft tissue, unspecified"
C49A,"Gastrointestinal stromal tumor, unspecified site"
C500,"Malignant neoplasm of nipple and areola, right female breast"
C501,Malignant neoplasm of central portion of right female breast
C502,Malignant neoplasm of upper-inner quadrant of right female breast
C503,Malignant neoplasm of lower-inner quadrant of right female breast
C504,Malignant neoplasm of upper-outer quadrant of right female breast
C505,Malignant neoplasm of lower-outer quadrant of right female breast
C506,Malignant neoplasm of axillary tail of right female breast
C508,Malignant neoplasm of overlapping sites of right female breast
C509,Malignant neoplasm of unspecified site of right female breast
C510,Malignant neoplasm of labium majus
C511,Malignant neoplasm of labium minus
C512,Malignant neoplasm of clitoris
C518,Malignant neoplasm of overlapping sites of vulva
C519,"Malignant neoplasm of vulva, unspecified"
C52,Malignant neoplasm of vagina
C530,Malignant neoplasm of endocervix
C531,Malignant neoplasm of exocervix
C538,Malignant neoplasm of overlapping sites of cervix uteri
C539,"Malignant neoplasm of cervix uteri, unspecified"
C540,Malignant neoplasm of isthmus uteri
C541,Malignant neoplasm of endometrium
C542,Malignant neoplasm of myometrium
C543,Malignant neoplasm of fundus uteri
C548,Malignant neoplasm of overlapping sites of corpus uteri
C549,"Malignant neoplasm of corpus uteri, unspecified"
C55,"Malignant neoplasm of uterus, part unspecified"
C561,Malignant neoplasm of right ovary
C562,Malignant neoplasm of left ovary
C563,Malignant neoplasm of bilateral ovaries
C569,Malignant neoplasm of unspecified ovary
C570,Malignant neoplasm of unspecified fallopian tube
C571,Malignant neoplasm of unspecified broad ligament
C572,Malignant neoplasm of unspecified round ligament
C573,Malignant neoplasm of parametrium
C574,"Malignant neoplasm of uterine adnexa, unspecified"
C577,Malignant neoplasm of other specified female genital organs
C578,Malignant neoplasm of overlapping sites of female genital organs
C579,"Malignant neoplasm of female genital organ, unspecified"
C58,Malignant neoplasm of placenta
C600,Malignant neoplasm of prepuce
C601,Malignant neoplasm of glans penis
C602,Malignant neoplasm of body of penis
C608,Malignant neoplasm of overlapping sites of penis
C609,"Malignant neoplasm of penis, unspecified"
C61,Malignant neoplasm of prostate
C620,Malignant neoplasm of unspecified undescended testis
C621,Malignant neoplasm of unspecified descended testis
C629,"Malignant neoplasm of unspecified testis, unspecified whether descended or undescended"
C630,Malignant neoplasm of unspecified epididymis
C631,Malignant neoplasm of unspecified spermatic cord
C632,Malignant neoplasm of scrotum
C637,Malignant neoplasm of other specified male genital organs
C638,Malignant neoplasm of overlapping sites of male genital organs
C639,"Malignant neoplasm of male genital organ, unspecified"
C641,"Malignant neoplasm of right kidney, except renal pelvis"
C642,"Malignant neoplasm of left kidney, except renal pelvis"
C649,"Malignant neoplasm of unspecified kidney, except renal pelvis"
C651,Malignant neoplasm of right renal pelvis
C652,Malignant neoplasm of left renal pelvis
C659,Malignant neoplasm of unspecified renal pelvis
C661,Malignant neoplasm of right ureter
C662,Malignant neoplasm of left ureter
C669,Malignant neoplasm of unspecified ureter
C670,Malignant neoplasm of trigone of bladder
C671,Malignant neoplasm of dome of bladder
C672,Malignant neoplasm of lateral wall of bladder
C673,Malignant neoplasm of anterior wall of bladder
C674,Malignant neoplasm of posterior wall of bladder
C675,Malignant neoplasm of bladder neck
C676,Malignant neoplasm of ureteric orifice
C677,Malignant neoplasm of urachus
C678,Malignant neoplasm of overlapping sites of bladder
C679,"Malignant neoplasm of bladder, unspecified"
